Property Type,Listing Type,Bedrooms,Bathrooms,Country Code,City,Zipcode,Latitude,Longitude,Currency Native,Airbnb Property ID,Airbnb Host ID,last_seen,cleaning_fee,Reporting Month,Blocked Days,Available Days,Scraped During Month,Occupancy Rate,Reservation Days,ADR (USD),ADR (Native),Number Of Reservation,Revenue (USD),Revenue (Native)
Entire condo,entire_home,1,1,GB,Brighton,BN1 2PY,50.82268,-0.15649,USD,1378977,7469672,2024-01-10,0.0,2023-10,0,31,True,42.6,11,221,175,1,2431,1920
Entire condo,entire_home,1,1,GB,Brighton ,BN2 1ET,50.81905,-0.13267,USD,1417997,5827493,2024-01-10,46.0,2023-10,2,29,True,82.8,20,147,116,1,2986,2359
Private room in townhouse,private_room,1,1,GB,Brighton,BN2 1EE,50.81781,-0.11845,USD,1441433,7740230,2024-01-10,13.0,2023-10,0,31,True,46.5,12,95,75,0,1140,901
Entire home,entire_home,1,2,GB,The City of Brighton and Hove,BN1 1EJ,50.82154,-0.13633,USD,1653383,8767787,2024-01-10,39.0,2023-10,17,14,True,0.0,0,183,145,0,0,0
Private room in home,private_room,1,2,GB,Brighton,BN1 6LS,50.84485,-0.14077,USD,1666114,6087059,2024-01-10,0.0,2023-10,0,31,True,27.1,7,61,48,2,427,337
Private room in home,private_room,1,2,GB,Brighton,BN1 6LS,50.84543,-0.1407,USD,1666160,6087059,2024-01-10,0.0,2023-10,0,31,True,96.8,25,61,48,2,1525,1205
Private room in townhouse,private_room,1,1,GB,Brighton,BN2 5BE,50.81918,-0.11653,USD,1671405,7740230,2024-01-10,13.0,2023-10,0,31,True,46.5,12,98,77,0,1176,929
Entire rental unit,entire_home,1,1,GB,Hove,BN3 2DA,50.82795,-0.17761,USD,1677142,1600305,2024-01-10,46.0,2023-10,0,31,True,77.4,20,96,76,1,1966,1553
Private room in home,private_room,1,2,GB,Brighton,BN1 6EH,50.84082,-0.13681,USD,1695291,8953708,2024-01-10,26.0,2023-10,0,31,True,58.1,15,61,48,1,941,743
Private room in rental unit,private_room,1,1,GB,Brighton,BN1 3RT,50.82916,-0.14608,USD,1724022,9087170,2024-01-10,33.0,2023-10,0,31,True,100,30,55,43,0,1650,1304
Entire home,entire_home,3,1,GB,Brighton,BN3 6NF,50.83766,-0.15238,USD,1744108,9179159,2023-12-20,78.0,2023-10,0,31,True,69.7,18,306,242,0,5508,4351
Private room in home,private_room,1,1,GB,Brighton,BN1 3LB,50.8264,-0.14271,USD,1760210,9254114,2023-10-19,7.0,2023-10,0,31,True,38.7,10,77,61,4,798,630
Private room in home,private_room,1,1,GB,Brighton,BN1 6NW,50.84259,-0.13379,USD,1774558,8953708,2024-01-10,26.0,2023-10,0,31,True,100,26,49,39,1,1300,1027
Entire townhouse,entire_home,1,1,GB,Brighton,BN2 0JL,50.822,-0.131,USD,1792366,645974,2024-01-10,51.0,2023-10,0,31,True,50.3,13,211,167,3,2896,2288
Private room in rental unit,private_room,1,2,GB,Brighton,BN1 4GP,50.831,-0.138,USD,2133582,10886719,2024-01-10,0.0,2023-10,6,25,True,43.2,9,64,51,0,576,455
Entire home,entire_home,4,2,GB,Brighton,BN2 3LD,50.834,-0.127,USD,2156756,3171249,2024-01-10,129.0,2023-10,0,31,True,46.5,12,458,362,0,5496,4342
Room in bed and breakfast,hotel_room,1,3,GB,Brighton,BN2 4AD,50.83962,-0.1222,USD,2199418,1687380,2024-01-10,13.0,2023-10,0,31,True,54.2,14,60,47,2,866,684
Room in bed and breakfast,hotel_room,1,3,GB,Brighton,BN2 4AH,50.83812,-0.12207,USD,2199934,1687380,2024-01-10,13.0,2023-10,0,31,True,100,31,74,58,0,2294,1812
Room in bed and breakfast,hotel_room,1,3,GB,Brighton,BN2 4AH,50.83906,-0.12159,USD,2199942,1687380,2024-01-10,13.0,2023-10,0,31,True,100,29,73,58,0,2117,1672
Entire home,entire_home,4,3,GB,Hove,BN3 1TG,50.83153,-0.15168,USD,2219119,10650131,2024-01-10,73.0,2023-10,0,31,True,15.5,4,1063,840,2,4398,3474
Private room in home,private_room,1,2,GB,Hove,BN3 1RD,50.83242,-0.15511,USD,2283377,11662443,2024-01-10,0.0,2023-10,0,31,True,81.3,21,50,40,2,1050,830
Private room in home,private_room,1,1,GB,The City of Brighton and Hove,BN3 6HG,50.837,-0.172,USD,2332051,11910914,2024-01-10,13.0,2023-10,0,31,True,85.2,22,62,49,2,1390,1098
Entire home,entire_home,4,2,GB,Brighton,BN2 1WB,50.822,-0.135,USD,2491513,12752532,2024-01-10,85.0,2023-10,0,31,True,46.5,12,330,261,2,4130,3263
Entire cottage,entire_home,1,1,GB,Brighton,BN1 6TD,50.85028,-0.1517,USD,2583664,12730980,2024-01-10,26.0,2023-10,0,31,True,58.1,15,127,100,5,2035,1608
Entire condo,entire_home,1,1,GB,Brighton,BN1 4AL,50.826,-0.139,USD,2669166,13663337,2024-01-10,59.0,2023-10,0,31,True,27.1,7,145,115,0,1015,802
Private room in home,private_room,1,2,GB,Brighton,BN1 3PQ,50.82794,-0.14402,USD,2742633,14032526,2024-01-10,0.0,2023-10,0,31,True,73.5,19,66,52,2,1254,991
Private room in rental unit,private_room,1,2,GB,Brighton,BN2 0JG,50.82112,-0.13278,USD,2744465,14040269,2024-01-10,0.0,2023-10,0,31,True,61.9,16,55,43,2,880,695
Private room in home,private_room,2,1,GB,Brighton and Hove,BN3 5NE,50.83338,-0.194,USD,2750149,14050444,2024-01-10,,2023-10,0,31,True,85.2,22,102,81,0,2244,1773
Entire home,entire_home,2,1,GB,Brighton,BN2 1EA,50.819,-0.123,USD,2813825,14394650,2024-01-10,33.0,2023-10,0,31,True,15.5,4,251,198,2,1070,845
Entire rental unit,entire_home,1,1,GB,Brighton,BN1 4NG,50.834,-0.136,USD,2831503,9406145,2024-01-10,46.0,2023-10,0,31,True,81.3,21,108,85,2,2360,1864
Entire home,entire_home,5,3,GB,Brighton,BN2 1ET,50.81752,-0.12649,USD,2911482,6100323,2024-01-10,391.0,2023-10,0,31,True,19.4,5,433,342,1,2556,2019
Entire rental unit,entire_home,1,1,GB,Brighton,BN2 1JN,50.8197,-0.12773,USD,2913388,6100323,2024-01-10,91.0,2023-10,0,31,True,61.9,16,64,51,0,1024,809
Private room in townhouse,private_room,1,1,GB,Brighton,BN1 3LH,50.8256,-0.14478,USD,2940229,9254114,2024-01-10,8.0,2023-10,0,31,True,0.0,0,82,65,0,0,0
Private room in home,private_room,1,2,GB,Hove,BN3 5RA,50.831,-0.188,USD,2971124,15159961,2024-01-10,0.0,2023-10,0,31,True,69.7,18,58,46,3,1044,825
Private room in home,private_room,1,2,GB,Hove,BN3 5QA,50.832,-0.189,USD,2986377,15159961,2024-01-10,0.0,2023-10,0,31,True,96.8,25,44,35,2,1100,869
Private room in home,private_room,Studio,1,GB,Hove,BN3 4FX,50.82639,-0.18867,USD,2988868,15240074,2024-01-10,0.0,2023-10,0,31,True,15.5,4,89,70,0,356,281
Entire home,entire_home,4,3,GB,Brighton,BN3 4EH,50.831,-0.208,USD,3002346,6965252,2024-01-10,63.0,2023-10,0,31,True,100,26,731,577,0,19006,15015
Private room in rental unit,private_room,1,1,GB,Hove,BN3 1EL,50.8253,-0.16009,USD,3160422,14675737,2024-01-10,0.0,2023-10,0,31,True,100,27,53,42,2,1431,1130
Private room in home,private_room,1,2,GB,Brighton,BN1 1YD,50.82616,-0.14288,USD,3191232,14032526,2024-01-10,0.0,2023-10,1,30,True,68.0,17,53,42,0,901,712
Private room in townhouse,private_room,1,1,GB,Brighton,BN1 4QH,50.83542,-0.13911,USD,3247856,9137139,2024-01-10,20.0,2023-10,0,31,True,7.7,2,69,55,2,178,141
Entire rental unit,entire_home,1,1,GB,Hove,BN3 4GP,50.82462,-0.18498,USD,3304346,16690100,2023-11-01,64.0,2023-10,0,31,True,85.2,22,135,107,0,2970,2346
Entire condo,entire_home,1,2,GB,Brighton and Hove,BN1 2PS,50.823,-0.152,USD,3323432,16779170,2024-01-10,,2023-10,0,31,True,77.4,20,92,73,0,1840,1454
Entire home,entire_home,3,2,GB,Hove,BN1 2LJ,50.823,-0.153,USD,3348055,16812950,2024-01-10,91.0,2023-10,0,31,True,85.2,22,139,110,0,3058,2416
Entire rental unit,entire_home,1,1,GB,Hove,BN3 4LX,50.82683,-0.19623,USD,3375813,16499573,2024-01-10,25.0,2023-10,0,31,True,54.2,14,63,50,0,882,697
Entire rental unit,entire_home,Studio,1,GB,Hove,BN3 1DL,50.82596,-0.15565,USD,3385175,6954464,2024-01-10,26.0,2023-10,0,31,True,65.8,17,55,43,1,961,759
Entire rental unit,entire_home,2,1,GB,Brighton,BN1 4EL,50.8273,-0.13856,USD,3421010,6478844,2024-01-10,46.0,2023-10,0,31,True,46.5,12,144,114,0,1728,1365
Private room in rental unit,private_room,1,1,GB,Brighton,BN1 4GP,50.83168,-0.13769,USD,3422252,4875704,2024-01-10,0.0,2023-10,0,31,True,27.1,7,59,47,4,413,326
Entire rental unit,entire_home,2,2,GB,Brighton,BN2 9YE,50.82576,-0.12014,USD,3459632,17436367,2024-01-10,78.0,2023-10,0,31,True,7.7,2,177,140,2,510,403
Entire rental unit,entire_home,1,1,GB,Brighton,BN1 3RT,50.82921,-0.14422,USD,3462673,17447664,2024-01-10,,2023-10,0,31,True,81.3,21,107,85,3,2247,1775
Entire condo,entire_home,2,1,GB,Brighton,BN1 3BG,50.82591,-0.15388,USD,3539037,7404847,2024-01-10,65.0,2023-10,0,31,True,34.8,9,171,135,3,1734,1370
Entire home,entire_home,4,3,GB,Brighton,BN1 2EB,50.823,-0.14736,USD,3599621,10681349,2024-01-10,195.0,2023-10,0,31,True,19.4,5,567,448,0,2835,2240
Entire home,entire_home,2,1,GB,Brighton,BN2 9SN,50.8295,-0.13056,USD,3628291,10602926,2024-01-10,39.0,2023-10,0,31,True,73.5,19,152,120,0,2888,2282
Entire townhouse,entire_home,3,2,GB,Brighton,BN2 0AG,50.8199,-0.12043,USD,3647284,4554271,2024-01-10,46.0,2023-10,0,31,True,61.9,16,244,193,0,3904,3084
Private room in rental unit,private_room,1,1,GB,Brighton,BN2 3DJ,50.83314,-0.12581,USD,3663517,18272306,2024-01-10,0.0,2023-10,0,31,True,73.5,19,54,43,1,1026,811
Entire home,entire_home,3,2,GB,Brighton and Hove,BN2 9PD,50.82647,-0.13072,USD,3691737,18627584,2024-01-10,,2023-10,0,31,True,73.5,19,134,106,2,2546,2011
Entire home,entire_home,2,1,GB,Brighton,BN1 1RN,50.82422,-0.14204,USD,3693872,5330433,2024-01-10,98.0,2023-10,0,31,True,54.2,14,167,132,6,2926,2312
Private room in home,private_room,1,1,GB,Hove,BN3 5FJ,50.83429,-0.18059,USD,3781787,19398668,2024-01-10,7.0,2023-10,0,31,True,96.8,25,43,34,0,1075,849
Entire rental unit,entire_home,2,1,GB,Hove,BN3 2LT,50.825,-0.167,USD,3786635,5434576,2024-01-10,51.0,2023-10,0,31,True,46.5,12,135,107,3,1773,1401
Entire condo,entire_home,3,1,GB,Hove,BN3 5QG,50.83215,-0.18467,USD,3850582,2490600,2024-01-10,0.0,2023-10,0,31,True,85.2,22,346,273,1,7612,6013
Entire condo,entire_home,1,1,GB,Brighton,BN2 1ET,50.81787,-0.12872,USD,3855285,19887168,2024-01-10,0.0,2023-10,0,31,True,100,26,124,98,0,3224,2547
Entire home,entire_home,3,1,GB,Brighton,BN2 0GJ,50.8239,-0.12902,USD,3905386,20225652,2024-01-10,0.0,2023-10,0,31,True,73.5,19,376,297,0,7144,5644
Entire condo,entire_home,1,1,GB,Brighton and Hove,BN3 3YB,50.83,-0.173,USD,3974314,9219174,2024-01-10,,2023-10,0,31,True,100,28,117,92,1,3276,2588
Entire condo,entire_home,2,1,GB,Brighton,BN1 6RD,50.84536,-0.1484,USD,3979489,6460073,2024-01-10,0.0,2023-10,0,31,True,58.1,15,151,119,0,2265,1789
Private room in home,private_room,1,1,GB,Hove,BN3 6NT,50.83872,-0.15638,USD,4018200,11643095,2024-01-10,0.0,2023-10,0,31,True,100,29,73,58,0,2117,1672
Entire rental unit,entire_home,2,1,GB,Brighton,,50.82083,-0.13731,USD,4029244,4630460,2024-01-10,51.0,2023-10,0,31,True,85.2,22,214,169,1,4759,3760
Entire home,entire_home,3,2,GB,Brighton,BN1 3FL,50.825,-0.149,USD,4049015,20996157,2024-01-10,0.0,2023-10,0,31,True,7.7,2,359,284,0,718,567
Entire vacation home,entire_home,2,1,GB,Brighton,BN1 6RF,50.846,-0.147,USD,4094254,6460073,2024-01-10,0.0,2023-10,0,31,True,73.5,19,138,109,0,2622,2071
Entire condo,entire_home,2,1,GB,Brighton,BN1 2HD,50.82386,-0.15007,USD,4103381,12679608,2024-01-10,104.0,2023-10,0,31,True,58.1,15,219,173,3,3597,2842
Private room in home,private_room,1,1,GB,Brighton,BN2 0EH,50.82377,-0.11885,USD,4103438,21286119,2024-01-10,0.0,2023-10,0,31,True,0.0,0,98,77,0,0,0
Entire rental unit,entire_home,2,2,GB,Brighton,BN2 9DG,50.83151,-0.11549,USD,4180713,21687730,2024-01-10,52.0,2023-10,0,31,True,0.0,0,259,205,0,0,0
Private room in guest suite,private_room,1,1,GB,Brighton,BN2 1AQ,50.819,-0.129,USD,4223072,21916500,2024-01-10,0.0,2023-10,0,31,True,11.6,3,433,342,1,1299,1026
Entire rental unit,entire_home,Studio,1,GB,Hove,BN3 3FG,50.82963,-0.1766,USD,4260895,22114715,2024-01-10,52.0,2023-10,0,31,True,23.2,6,225,178,1,1402,1108
Private room in home,private_room,1,1,GB,Hove,BN3 6QE,50.85006,-0.16967,USD,4273919,3087751,2024-01-10,,2023-10,0,31,True,73.5,19,43,34,0,817,645
Private room in townhouse,private_room,1,1,GB,Hove,BN3 5BJ,50.834,-0.181,USD,4479172,22494536,2024-01-10,0.0,2023-10,0,31,True,42.6,11,71,56,0,781,617
Entire townhouse,entire_home,3,3,GB,Brighton,BN1 3LS,50.82846,-0.14277,USD,4542922,17377731,2024-01-10,26.0,2023-10,0,31,True,96.8,25,352,278,0,8800,6952
Entire rental unit,entire_home,1,1,GB,The City of Brighton and Hove,BN3 2WN,50.82189,-0.1568,USD,4604587,23860596,2024-01-10,72.0,2023-10,0,31,True,81.3,21,195,154,2,4239,3349
Entire home,entire_home,4,4,GB,Brighton,BN2 1BD,50.81908,-0.12601,USD,4647086,23209860,2024-01-10,0.0,2023-10,0,31,True,31.0,8,556,439,0,4448,3514
Entire rental unit,entire_home,2,1,GB,Brighton,BN2 1AN,50.819,-0.127,USD,4691236,24253943,2024-01-10,52.0,2023-10,0,31,True,27.1,7,210,166,0,1470,1161
Entire rental unit,entire_home,1,2,GB,Brighton,BN2 0GB,50.822,-0.129,USD,4755008,1670055,2024-01-10,,2023-10,0,31,True,19.4,5,130,103,0,650,514
Entire rental unit,entire_home,1,1,GB,Hove,BN3 5BJ,50.83393,-0.18194,USD,4798773,24726446,2024-01-10,13.0,2023-10,0,31,True,81.3,21,126,100,1,2659,2101
Private room in condo,private_room,1,1,GB,Brighton,BN1 4QQ,50.83647,-0.13775,USD,4913716,19299931,2024-01-10,0.0,2023-10,0,31,True,58.1,15,39,31,1,585,462
Entire rental unit,entire_home,2,1,GB,Brighton,BN2 3FX,50.83142,-0.13094,USD,4934578,21884225,2024-01-10,65.0,2023-10,2,29,True,41.4,10,162,128,0,1620,1280
Private room in bed and breakfast,private_room,1,1,GB,Brighton,BN1 5DN,50.83445,-0.14484,USD,5290817,24190878,2024-01-10,0.0,2023-10,0,31,True,11.6,3,132,104,2,396,313
Private room in home,private_room,1,1,GB,Brighton and Hove,BN3 4JB,50.82818,-0.19323,USD,5294887,8553216,2024-01-10,,2023-10,7,24,True,100.0,20,61,48,2,1220,964
Entire home,entire_home,4,2,GB,Hove,BN3 5QA,50.832,-0.189,USD,5312891,15159961,2024-01-10,104.0,2023-10,0,31,True,100,29,581,459,1,16953,13393
Private room in home,private_room,1,1,GB,Brighton,BN1 5DL,50.83473,-0.14586,USD,5328231,27545794,2024-01-10,13.0,2023-10,0,31,True,31.0,8,63,50,1,517,408
Private room in home,private_room,1,2,GB,Hove,BN3 7AH,50.838,-0.179,USD,5393862,27831708,2024-01-10,59.0,2023-10,1,30,True,52.0,13,80,63,0,1040,822
Entire home,entire_home,1,2,GB,Brighton,BN2 0LS,50.82108,-0.11914,USD,5397455,10125936,2024-01-10,39.0,2023-10,0,31,True,3.9,1,220,174,1,259,205
Entire rental unit,entire_home,1,1,GB,Brighton,BN2 1RF,50.82093,-0.1343,USD,5399386,22008747,2024-01-10,72.0,2023-10,0,31,True,100,28,90,71,0,2520,1991
Private room in rental unit,private_room,1,1,GB,Brighton,BN2 9SL,50.82805,-0.12526,USD,5430548,21141224,2024-01-10,0.0,2023-10,1,30,True,56.0,14,63,50,1,882,697
Entire rental unit,entire_home,2,1,GB,brighton and hove,BN3 6FB,50.83349518818408,-0.15886202426064877,USD,5442678,21369384,2024-01-10,,2023-10,0,31,True,58.1,15,115,91,2,1725,1363
Private room in home,private_room,1,1,GB,Brighton,BN1 5DR,50.8374,-0.14932,USD,5463127,28051823,2024-01-10,0.0,2023-10,0,31,True,15.5,4,95,75,1,380,300
Entire loft,entire_home,2,1,GB,Brighton,BN1 5NG,50.844,-0.156,USD,5560776,13317971,2024-01-10,39.0,2023-10,0,31,True,15.5,4,122,96,2,566,447
